Módulo Objetivo
   Gabarito
08/06/2025




                                  Módulo Objetivo
       Prova Tipo 1       			         Prova Tipo 2			   		    Prova Tipo 3		     			    Prova Tipo 4



    MATEMÁTICA                     PORTUGUÊS                    INGLÊS                  HUMANAS

 Prova    1   2   3   4         Prova   1   2   3   4   Prova   1   2    3   4    Prova   1   2   3    4

   1      D B B E                16     B E A A          31     B A B A            46     C A B C

   2      A C E B                17     E D C A          32     C B D E            47     A B C B

   3      C A D C                18     D C C E          33     D C D B            48     B C A A

   4      E D A D                19     C E A B          34     A E E C            49     A D A C

   5      C D A B                20     E B B E          35     B A A D            50     D A C A

   6      D C C D                21     B A B D          36     C E C E            51     A C A A

   7      C B C D                22     A C A C          37     E B B A            52     C A A A

   8      A D B B                23     C C A E          38     A D C C            53     A A A D

   9      A B C E                24     C A E B          39     E D D A            54     A A D A

  10      B A D A                25     A B B A          40     B E A B            55     E C C E

  11      B A B B                26     B B E C          41     D A B C            56     C C E E

  12      E C B C                27     B A D C          42     D C C E            57     C E E D

  13      B E D A                28     A A C A          43     E B E B            58     E E D E

  14      B E A C                29     A E E B          44     A C A D            59     E D E C

  15      D B E A                30     E B B B          45     C D E D            60     D E C C

